,wavelength,flux_spec
313,1768479.3336062531,33553018677140.062
314,1758733.3097062306,33688768960345.39
315,1749040.9957818096,33822590260780.066
316,1739402.0958393116,33954549217723.85
317,1729816.3155162635,34083167762255.938
318,1720283.3620724187,34209591958570.207
319,1710802.9443808096,34331376097080.703
320,1701374.772918855,34452562105379.332
321,1691998.559759525,34573561655024.473
322,1682674.0185625441,34695965925685.95
323,1673400.8645656502,34818505920875.082
324,1664178.81457589,34939193899254.168
325,1655007.5869609793,35054136357678.418
326,1645886.901640701,35164588265255.574
327,1636816.480078344,35277829349879.25
328,1627796.04527221,35391664869459.81
329,1618825.3217471377,35503272155953.03
330,1609904.0355461081,35616740557204.36
331,1601031.914221863,35731893243100.71
332,1592208.686828593,35840256382649.484
333,1583434.083913665,35946830330756.99
334,1574707.8375093802,36052562314870.164
335,1566029.6811248073,36161245888829.09
336,1557399.3497376372,36273405869885.71
337,1548816.5797860818,36385353896959.945
338,1540281.1091608393,36497389037993.77
339,1531792.6771970778,36609293347610.04
340,1523351.0246664844,36718636766781.78
341,1514955.893769337,36825865453993.15
342,1506607.0281266454,36932310438905.82
343,1498304.1727723107,37037215458616.73
344,1490047.0741453425,37137705258157.53
345,1481835.480082116,37236324820402.695
346,1473669.1398086736,37333018318721.51
347,1465547.8039330582,37423532026263.52
348,1457471.2244377076,37507149896898.336
349,1449439.1546718713,37576009425655.55
350,1441451.3493440861,37638285224662.58
351,1433507.5645146754,37691770333335.15
352,1425607.55758831,37718058127857.14
353,1417751.0873065942,37728339165669.32
354,1409937.9137406938,37715177874294.23
355,1402167.7982840186,37677699213690.2
356,1394440.503644929,37615213045332.984
357,1386755.7938394898,37521853657249.51
358,1379113.4341842632,37408642397246.14
359,1371513.191289146,37256918065559.16
360,1363954.8330502398,37089361331432.63
361,1356438.1286427581,36909928730340.44
362,1348962.848513984,36704033218709.83
363,1341528.7643762582,36490378748401.664
364,1334135.6492000027,36277990920064.34
365,1326783.2772067948,36056646008175.82
366,1319471.4238624645,35823451527425.96
367,1312199.8658702457,35587184794954.43
368,1304968.3811639475,35351366232997.29
369,1297776.7489011814,35117897211207.17
370,1290624.7494566129,34886438748071.215
371,1283512.1644152515,34656189196004.18
372,1276438.776565786,34415234390241.016
373,1269404.3698939504,34178395846380.06
374,1262408.7295759197,33960525558837.48
375,1255451.6419717614,33746656666835.438
376,1248532.8946188996,33535145121761.812
377,1241652.2762256358,33313819649338.855
378,1234809.5766646878,33090428990202.11
379,1228004.5869667814,32869774805722.742
380,1221237.0993142633,32663266969003.8
381,1214506.9070347524,32467582594752.008
382,1207813.804594835,32262055981946.04
383,1201157.5875937843,32053348181487.355
384,1194538.0527573153,31843792151389.746
385,1187954.9979313836,31636944184002.285
386,1181408.2220760041,31433174983731.16
387,1174897.525259121,31231009533493.965
388,1168422.708650491,31025268366672.684
389,1161983.5745156202,30798936715163.418
390,1155579.9262097236,30586488285423.69
391,1149211.5681717133,30387158615480.49
392,1142878.3059182353,30173118422960.184
393,1136579.9460377265,29959595344191.992
394,1130316.296184505,29758442796180.84
395,1124087.1650728988,29551609219204.477
396,1117892.3624714066,29337570538657.215
397,1111731.6991968856,29124195451562.43
398,1105604.9871087712,28917083540638.676
399,1099512.039103338,28723884675897.28
400,1093452.6691079815,28524058801997.254
401,1087426.6920755333,28313881061781.547
402,1081433.9239786174,28102016790404.1
403,1075474.1818040244,27887038679563.78
404,1069547.283547123,27658275346837.996
405,1063653.0482063012,27439557021310.57
406,1057791.2957774438,27229914176706.617
407,1051961.8472484308,27018650518924.977
408,1046164.524593668,26803884004008.508
409,1040399.1507686573,26575321665278.312
410,1034665.5497045858,26358685466272.16
411,1028963.5463029471,26150545131754.12
412,1023292.9664301989,25923679100930.27
413,1017653.6369124389,25698331357559.766
414,1012045.3855301245,25489115823568.6
415,1006468.0410128034,25270403251638.25
416,1000921.4330338923,25039457151247.652
417,995405.3922054705,24810186724783.266
418,989919.7500731068,24583019597576.953
419,984464.3391107165,24357510423252.004
420,979038.9927154455,24129602714109.457
421,973643.5452025807,23899118922233.547
422,968277.8318004926,23669168292333.598
423,962941.6886456016,23440163903224.883
424,957634.9527773738,23210179319900.926
425,952357.4621333457,22981365786190.516
426,947109.0555441723,22753352804550.574
427,941889.5727287086,22518995480911.574
428,936698.8542891117,22284454221975.324
429,931536.7417059756,22051961340644.23
430,926403.0773334882,21820661052126.28
431,921297.7043946172,21590203997783.465
432,916220.4669763233,21356176622431.277
433,911171.2100247975,21122724047541.477
434,906149.7793407275,20890847225897.445
435,901156.0215745877,20658059256006.31
